qid,text1,text2,label
28847,我用花呗用了，因为不是是我刚才回来***，为什么上面显示下个月还还***什么意思,为什么我上个月花呗才欠***这个月就***了,0
10903,共享单车我用的花呗支付已经还车怎么还显示让我还押金,这单我是付款的怎么花呗显示还款,0
41101,为什么我现在用不了借呗,为什么不能在借呗借钱,1
32626,我的收款二维码的花呗收款有额度限制吗,花呗收款有限制,1
54703,需请再次开通花呗,花呗关闭在开通,1
19968,花呗商家收款吗，收费用是多少,花呗收款是直接到账吗,0
26629,我花呗怎么显示要登录另一个支付宝账号,显示另一个账号开通花呗了这个号还有办法开嘛,0
27153,蚂蚁花呗没有还，开通不了蚂蚁借呗吗,蚂蚁花呗没还完 借呗能开通么,1
59796,***岁可以用花呗嘛,多大年龄可以使用花呗,1
52076,如何取消花呗好友帮还,怎么取消邀请朋友还款蚂蚁花呗,1
2910,什么时候要还借呗,借呗最晚还款日是什么时候,1
9142,临时额度可以花呗分期吗,花呗的临时一个月的额度可以分期还么,1
365,为什么我不符合蚂蚁花呗要求,为啥我开不了花呗,1
53423,我的花呗什么可时候可以再用,我的蚂蚁花呗是不是不可以用了,0
6334,如果不想使用花呗了，怎么退订,我不小心按过一次花呗，我不想用了咋退,1
2946,支付宝客户端蚂蚁花呗签约在哪,我在手机支付宝客户端点击“我的”——“花呗,0
23457,我今天刷***金额顺丰运费不能用花呗，但是单独一个***又可以,我今天在淘宝买两双鞋。不是在一家买的 两家 一共一千 可以用花呗分期吗,0
19460,我没有分期还过花呗，有第一期免手续费吗,花呗还能分期吗,0
34226,为什么我没有开通花呗收款的条件,怎么不能开通信用卡跟花呗收款,0
39325,因为我有花呗的账号 用来开淘宝店铺了，不想用卖家号买东西,因为我经常用花呗支付，但是可能开通的比较早，额度一直提不上来,0
46124,我消费了花呗的钱，不知如何还款,花呗手机进不了怎么还款,0
30826,我的支付宝怎么没有借呗,为何我现在没有了蚂蚁借呗,0
50891,我的余额宝能直接还花呗吗,花呗如何设置余额宝自动还款,0
45816,花呗双***为啥没有临时额度,怎么知道花呗是不是临时额度,0
5360,怎么看所有的花呗账单,我想看所有我在花呗上的资金明细,1
6028,开通花呗后不用需要扣费吗,花呗开通以后不用会扣钱吗,1
19724,蚂蚁花呗退回来的钱,我的花呗推回来的钱去哪了,0
21388,现在在淘宝买东西可以用花呗吗,我的淘宝可以用花呗吗,1
37426,蚂蚁借呗跟信用卡的区别,网商贷跟蚂蚁花呗区别,0
27312,为什么我的花呗付款之后，之间扣的我银行卡里的钱,在蚂蚁花呗扣钱了，我的银行卡里也扣了,1
55703,花呗分期和账单分期两个提前还都没有手续费吗,花呗借呗提前还清 会减免费用吗,0
4813,借呗提前还款会导致借呗关闭吗,提前还借呗会关闭借呗那,1
56075,花呗明明还清了怎么还显示有还款的,***月份花呗里面的钱都已经还清了为什么还要扣款,0
41618,借呗花呗授权芝麻分,如何芝麻信用绑定花呗授权,0
375,如何看花呗帐单,花呗全部账单怎么查看,1
3557,怎么开通花呗和信用卡渠道,花呗要信用卡嘛,0
20968,教育交费可以用花呗和信用卡吗,信用卡，和花呗立即到账吗,0
12032,双***的花呗临时额度可以分期吗,花呗专属临时额度，我为什么可以领,0
45254,花呗能用于哪些应用,蚂蚁花呗有哪些应用场景,1
11025,蚂蚁借呗，什么时候还款,蚂蚁借呗还款日不还,0
34773,借呗只能六个月吗,借呗怎么现在只可以借六个月,1
19133,我的借呗怎么关闭了,我的支付宝上没有蚂蚁借呗软件怎么回事,0
44901,我为什么关不了借呗,让我关联公积金做什么,0
29187,花呗收款从哪里上传证件,哪里上传证件信息申请花呗收款,1
46712,我用的花呗花的口碑 为什么对方没有收到钱,我支付宝用花呗付款了！为什么商家说没有收到,1
20514,花呗当日交易以限额,问。花呗限额吗,0
11272,花呗怎么才能恢复正常使用,花呗无法使用 怎样能恢复使用,1
59190,有这个网商贷，跟借呗一样不,蚂蚁借呗和网商贷款一样吗,1
8864,花呗 逾期了 怎么办,身份证过期了怎么还花呗,0
10885,花呗关闭了为什么付款的时候还要提示花呗付款,关掉了花呗，为什么他还要付款,1
42918,自动扣款就是在花呗,花呗会自动还,1
25462,为何花呗和借呗不能用,借呗为什么和花呗不一样,0
38520,为什么我开通了花呗但是不能使用,为什么我的花呗借呗都打不开了,0
25495,已经关闭了花呗，为什么新的帐号申请还是显示另外一个帐号在登录,另一个账户已经关闭花呗，这个账户为什么还显示用另一个账户使用花呗,1
3397,我刚用花呗买了***元的东西为什么没有口红包,我用花呗支付的电费，因为里面有***元红包，怎么没用,1
18799,问问借呗如何提额度,如何提蚂蚁借呗额度,1
1607,花呗不想用了可以关闭嘛,如果我关闭花呗，支付宝用得起不,0
20293,我不用手机 花呗怎么还款,我要花呗查账及还款,0
33888,我的蚂蚁借呗只可以借***个月,我的蚂蚁借贝怎么只可以分期六个月,1
31039,使用花呗能不能收款,花呗支付可以收款吗,1
32229,花呗支付送流量在哪呀,花呗送流量在哪里,1
30716,它跟我身份证地址不一样，我不在自己的地方,可是我这样拍摄了身份证了，怕被别人用了,0
185,花呗每个月最低还款是多少,我的花呗这个月最低还款金额为多少,1
5205,蚂蚁借呗借款期限不能选择***个月么,借呗能选三个月期限吗,1
50994,为啥我都开通了通讯录权限，为啥还提高不了花呗的额度,为什么花呗同步通讯录不了，手机权限也已经给了,0
9404,我选的是花呗分期付款。现在卖家说是全款,我刚刚全款支付的，为什么显示是花呗***期,0
1404,花呗分期可以提前结清吗,我之前使用花呗分期还款,0
37833,我的借呗完善资料了，怎么没有 处理,怎么查询 额度 借呗,0
45257,用花呗买东西怎么退款没退给花呗,花呗按错了怎么退款,0
7199,开通的花呗，现在的账号花呗用不了,花呗在另一个账户开通,0
11529,蚂蚁花呗到期还款可以分几期开还,花呗可以分期多少次数,1
8668,花呗按最低额还款如何计算,蚂蚁花呗我已经还掉了最低额度,0
33557,我的花呗***的订单怎么回事,花呗付款三次 ，显示二个订单。怎么回事,1
22734,怎么申请收钱收钱吗，花呗可以,我老公开了一个副食店，我怎样申请花呗收钱,1
17744,现在游戏内不可以用花呗充值点卷吗,花呗不能用于游戏充值吗,1
7863,现在蚂蚁借呗期限只有***个月吗,蚂蚁借呗本来是***个月期限还款的，现在想改成***个月可以吗,0
14295,要多久才可以用花呗,我什么才可以用花呗,1
2446,我就是用花呗逾期了，刚换完，还能用吗,花呗有逾期但是还完了需要多久恢复使用,1
50102,我花呗点不进去我没办法还款,为啥花呗不能一点一点还款了,0
10959,花呗有到期提醒功能吗,花呗还款有短信提醒么,1
35727,比如我现在用花呗付款，要什么时候还,我刚刚用蚂蚁花呗付了一个订单 从什么时候开始还款,1
27336,花呗分期还款***期的手续费,花呗一次还清后还要手续费吗,0
10209,我的***月***日的一笔***的花呗待确认订单找不到了,找不到花呗中我的账单,1
38859,花呗的还款 可以找别人付吗,随时还花呗可以吗,0
36701,花呗几号可还款分期,花呗是否分期,0
62007,借呗的审核资料如何更改,怎么修改借呗的资料,1
26341,意思是能不能把以前卖家支付宝的花呗注销掉 开通我这个买家号,如果是不符合开通花呗的条件 就不会有花呗按钮的,0
7219,我想询，花呗，使用花呗，安全吗,推荐用花呗，安全吗,1
8731,花呗退款没到账怎么办,我花呗退款还没到账帮我查一下,1
41485,为什么我的不满足借呗使用条件,借呗满足什么条件才能开通,0
39709,支付宝的花呗可以和另一个支付宝合并吗,同名两个支付宝花呗能不能合并,0
32038,"退回花呗的钱,还扣我的钱是怎么回事",卡里钱扣了，花呗，还吹我还帐,1
13327,我得蚂蚁借呗怎样能提高额度,借呗提额怎么得,1
33163,花呗账单明细与还款金额不一样,花呗还款金额与实际消费不符咋回事,1
58273,花呗退款后怎么还会出账单,退款后花呗账单还在,1
32126,我想申请借呗还钱,借呗借钱没到账能取消不,0
27101,蚂蚁借呗能不能改分期时间,借呗分期时间可以修改么,1
16784,花呗什么时候还款,像***月***号用了花呗，那什么时候还款,1
24926,你这个借呗吃了我多少利息心里没数吗,我的借呗最低还款已经还了吗,0
21794,借呗现在只能分六期和十二期吗,蚂蚁借呗怎么只能分六期了,0
53539,我想如何关闭花呗,如何取消优先花呗,0
16346,我的花呗额度怎么降了？我又没有逾期,为什么用花呗为什么没有提升额度,0
35150,怎么取消好友帮忙还花呗邀请,如何取消帮还花呗的邀请,1
52207,但是蚂蚁花呗，显示我还是没有还,是我还款了花呗可却显示未还款,1
4384,我退款的衣服，花呗之前还完了，退款是不是应该退到余额里，为什么没有显示,我退了一双鞋***到花呗里，但是没有显示余额,0
22542,商家不支持花呗，付款了却没收到钱,我刷了花呗但是商家没收到钱,1
43382,花呗分期还款一个月的利息要多收多少,我刚刚用花呗支付了***我想分期付款利息是多少分***期,1
12954,借呗期限只能***个月吗,蚂蚁借呗只可以借***个月,1
3437,花呗不可以用做红包么,用花呗 可以减红包吗,0
5259,我说了没有开通支付宝花呗呀,我没开通过花呗呀,1
2737,商家接受花呗付款，用出手续费吗,商家码收花呗用手续费吗,1
16612,我的为什么不能开通信用卡花呗收款,花呗收款资料不通过,0
8614,为什么蚂蚁花呗用不了,为什么不能使用花呗支付,1
45104,加油能不能用花呗,花呗，能否加油,1
12287,有借呗，为什么不显示额度,借呗已经还款怎么不显示还款,0
33178,花呗交易限制额度吗,花呗消费又限制吗,1
40418,余额宝里有钱就会自动还借呗还款,蚂蚁借呗只要余额宝有钱就会自己还吗,1
